Country,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Population
Austria,AUT,1990,53,2327,583,12,0,116,112,7,69,71,180,39785,1374,317,208,1858,3,4,24,20644,0,1590,743,36,1,1423,2524,2253,3979,62,3,8917205
Austria,AUT,1991,53,2404,590,10,0,116,101,8,90,85,163,39739,1334,316,219,1857,10,4,24,20747,0,1614,746,35,1,1388,2506,2280,3968,63,3,8917205
Austria,AUT,1992,52,2487,596,9,0,115,112,7,136,104,146,39550,1301,310,227,1832,0,4,22,20787,0,1602,742,31,1,1323,2484,2280,3939,62,3,8917205
Austria,AUT,1993,50,2560,598,8,0,114,103,6,146,124,128,39234,1235,280,230,1824,0,4,21,20731,0,1584,745,30,1,1293,2468,2258,3876,62,3,8917205
Austria,AUT,1994,43,2629,599,7,0,112,94,8,178,141,111,38675,1177,262,238,1806,2,4,21,20543,0,1555,739,28,1,1237,2410,2219,3784,61,3,8917205
Austria,AUT,1995,42,2715,616,6,0,105,86,3,164,149,98,38864,1139,233,255,1783,7,4,21,20605,6,1563,757,26,1,1148,2434,2197,3723,60,3,8917205
Austria,AUT,1996,45,2769,630,6,0,98,85,5,117,152,90,38904,1148,214,268,1738,0,5,21,20558,0,1548,786,25,1,1065,2437,2168,3653,59,4,8917205
Austria,AUT,1997,39,2812,635,5,0,94,72,4,65,147,84,38211,1146,194,278,1659,3,5,20,20411,0,1512,814,23,1,1012,2433,2103,3541,59,4,8917205
Austria,AUT,1998,39,2856,646,5,0,88,83,4,68,146,79,37772,1157,186,288,1614,0,6,19,20321,0,1487,855,21,1,955,2459,2078,3494,56,4,8917205
Austria,AUT,1999,38,2900,663,4,0,86,70,3,56,154,73,37253,1193,175,297,1589,53,7,20,20222,0,1509,939,18,1,939,2531,2040,3448,55,5,8917205
Austria,AUT,2000,36,2974,688,4,0,86,70,3,48,166,68,36313,1192,179,307,1578,14,8,21,20150,0,1555,1093,20,1,912,2608,2045,3477,54,4,8917205
Austria,AUT,2001,37,3001,713,4,0,83,73,5,50,165,63,34918,1160,180,321,1535,0,11,23,19938,0,1640,1239,20,1,872,2669,2035,3478,53,4,8917205
Austria,AUT,2002,39,3046,766,5,0,83,73,2,53,167,61,34394,1164,173,332,1527,18,16,23,20079,0,1796,1429,22,1,844,2819,2085,3588,52,4,8917205
Austria,AUT,2003,39,3069,795,6,0,83,57,2,50,184,57,33519,1206,183,354,1502,21,21,38,20229,0,2064,1594,22,1,825,2948,2131,3639,51,3,8917205
